"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","Response_var_units","Stat_test","Stat_type","Trt_id1","Trt1_interaction","Trt1_interaction2","Trt_id1value","Trt_id2","Trt2_interaction","Trt2_interaction2","Trt_id2value","Sig_level","Effect","Effect_norm","Group_finelevel","Trt_id1name","Trt_id1description","Trt_id2name","Trt_id2description","Reviewers_results_short","Reviewers_results_long","Authors_comments","Res_key","group_metric","main_group"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","mean",0,NA,NA,"11987.1",1,NA,NA,11458.1,"ns","0",0,"untreated_seedIF","untreated seed","untreated maize seed","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","1","Stand Count (Maize)","Stand Density"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","sem",0,NA,NA,"503.7",1,NA,NA,380.8,"ns","0",0,"untreated_seedIF","untreated seed","untreated maize seed","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","2","Stand Count (Maize)","Stand Density"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","mean",0,NA,NA,"11987.1",2,NA,NA,13044.6,"ns","0",0,"untreated_seedIF","untreated seed","untreated maize seed","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","3","Stand Count (Maize)","Stand Density"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","sem",0,NA,NA,"503.7",2,NA,NA,259.5,"ns","0",0,"untreated_seedIF","untreated seed","untreated maize seed","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","4","Stand Count (Maize)","Stand Density"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","mean",1,NA,NA,"11458.1",2,NA,NA,13044.6,"ns","0",0,"seedIF_seedIF","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","5","Stand Count (Maize)","Stand Density"
70,"2012-3","1","1","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","sem",1,NA,NA,"380.8",2,NA,NA,259.5,"ns","0",0,"seedIF_seedIF","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","6","Stand Count (Maize)","Stand Density"
70,"2012-3","1","2","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","mean",0,NA,NA,"12075.1",1,NA,NA,11281.8,"0.05","1",1,"untreated_seedIF","untreated seed","untreated maize seed","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","7","Stand Count (Maize)","Stand Density"
70,"2012-3","1","2","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","sem",0,NA,NA,"333.7",1,NA,NA,589.1,"0.05","1",1,"untreated_seedIF","untreated seed","untreated maize seed","low rate clothianidin + fungicide","0.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","8","Stand Count (Maize)","Stand Density"
70,"2012-3","1","2","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","mean",0,NA,NA,"12075.1",2,NA,NA,13529.4,"0.05","1",1,"untreated_seedIF","untreated seed","untreated maize seed","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","9","Stand Count (Maize)","Stand Density"
70,"2012-3","1","2","Seed Protection","Crop Production","maize stand count","# plants / ha","F-test","sem",0,NA,NA,"333.7",2,NA,NA,340.4,"0.05","1",1,"untreated_seedIF","untreated seed","untreated maize seed","high rate clothianidin + fungicide","1.25 mg clothianidin + fungicides","little benefit in maize stand count with pesticide seed treatment, except at one site in 2012 where stand counts increased with pesticide seed treatments.","Maize stand density was largely unaffected with low and high doses of insecticide-fungicide seed treatments (0.25 and 1.25 mg clothianidin + fungicidies, respectively) compared to untreated seeds. Of the eight site years, maize stand density increased in one year at one site with the addition of these pesticide seed treatments.","Levels of the neonicotinoid active ingredient, clothianidin, on maize seeds in our crop protection experiments aligned with the label rate of mg per seed at both the low (025 mg clothianidin per seed) and high (125 mg per seed) treatment levels (Table S8). We documented no benefit, in terms of crop yields, of planting neonicotinoid treated maize over three cropping seasons, including three locations in 2012 and 2013 and two locations in 2014.","10","Stand Count (Maize)","Stand Density"
